               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11101,            0.027083,            0.044606,           0.0034373,             0.32888,            0.012679,           0.0039677,            0.094763,            0.022327,            0.042066,               0.073,               0.003,               0.003
                   1,             0.08954,            0.032442,            0.040516,               0.545,            0.045052,            0.014154,           0.0037854,            0.089315,            0.041958,            0.037204,            0.045088,           0.0060879,           0.0060879
                   2,            0.078495,            0.029968,            0.036526,             0.59553,             0.18004,             0.10033,            0.040644,            0.074453,            0.023338,            0.033371,            0.017164,           0.0091636,           0.0091636
                   3,            0.072521,            0.027633,            0.034418,             0.74096,             0.21148,             0.16335,            0.066974,            0.059387,            0.021218,            0.030365,           0.0099406,           0.0099406,           0.0099406
                   4,            0.065768,            0.026612,            0.032153,             0.77998,             0.24526,             0.23529,             0.10788,            0.051063,            0.017294,            0.027241,           0.0099406,           0.0099406,           0.0099406
                   5,            0.060386,            0.025795,            0.029743,             0.81602,             0.23824,             0.27012,             0.12447,            0.051199,            0.015936,            0.025023,           0.0099208,           0.0099208,           0.0099208
                   6,            0.057783,            0.025461,            0.027951,             0.84756,             0.28709,             0.33301,             0.16262,            0.045805,              0.0151,            0.023209,            0.009901,            0.009901,            0.009901
                   7,            0.055367,            0.025382,            0.026353,             0.81505,             0.23424,             0.26913,              0.1238,            0.051366,            0.018125,            0.022912,           0.0098812,           0.0098812,           0.0098812
                   8,            0.054237,             0.02412,            0.025064,             0.73898,             0.33734,             0.36199,             0.18732,            0.043297,            0.014734,            0.020384,           0.0098614,           0.0098614,           0.0098614
                   9,            0.053456,            0.024527,            0.023889,             0.76341,             0.37046,             0.43806,             0.23452,            0.040928,            0.013493,            0.018882,           0.0098416,           0.0098416,           0.0098416
                  10,            0.053043,            0.024349,            0.023308,             0.86656,             0.34813,             0.46588,             0.26109,            0.041078,            0.013091,            0.018023,           0.0098218,           0.0098218,           0.0098218
                  11,            0.052577,            0.023182,            0.021991,             0.59232,             0.47541,             0.49594,             0.27908,            0.039382,            0.013086,            0.017387,            0.009802,            0.009802,            0.009802
